400186733, 0.50009, 1, 1
400175089, 0.49975, 1, 1
400191540, 0.50003, 1, 1
400186733, 0.20055, 2, 1
400175089, 0.19965, 2, 1
400191540, 0.19992, 2, 1
400186733, 0.06233, 3, 1
400175089, 0.06257, 3, 1
400191540, 0.06240, 3, 1
400186733, 0.01545, 4, 1
400175089, 0.01538, 4, 1
400191540, 0.01534, 4, 1
400186733, 0.00305, 5, 1
400175089, 0.00304, 5, 1
400191540, 0.00307, 5, 1
400186733, 0.00049, 6, 1
400175089, 0.00052, 6, 1
400191540, 0.00051, 6, 1
400186733, 0.00008, 7, 1
400175089, 0.00007, 7, 1
400191540, 0.00007, 7, 1
